,device_model_name,selenium_download
0,Redmi Note 5 Pro,11790.0
1,Redmi Note 4,8499.0
2,Redmi Note 7 Pro,13990.0
3,ONEPLUS A6000,29999.0
4,Redmi Note 6 Pro,11157.0
5,ONEPLUS A6010,30999.0
6,SM-A505F,15899.0
7,SM-G610F,5999.0
8,Redmi Note 8 Pro,18890.0
9,"iPhone8,1",39900.0
10,GM1901,29950.0
11,"iPhone9,3",75990.0
12,Redmi 4,4399.0
13,Redmi Note 5,5799.0
14,"iPhone7,2",23990.0
15,POCO F1,19999.0
16,SM-M307F,16999.0
17,Redmi 5A,7900.0
18,"iPhone11,8",57504.0
19,HD1901,39999.0
20,ONEPLUS A5010,
21,vivo 1723,
22,Redmi Note 7S,
23,Redmi Y2,
24,Moto G (5S) Plus,
25,Redmi 6 Pro,
26,Mi A1,
27,SM-G615F,
28,SM-J600G,
29,ONEPLUS A5000,
30,vivo 1907,
31,Redmi 6A,
32,Redmi Note 8,
33,vivo 1818,
34,ASUS_X00TD,
35,SM-J200G,
36,"iPhone12,1",
37,Mi A2,
38,SM-J700F,
39,GM1911,
40,Mi A3,
41,vivo 1804,
42,SM-J810G,
43,"iPhone10,3",
44,vivo 1807,
45,SM-J701F,
46,LLD-AL10,
47,ONEPLUS A3003,
48,Redmi 3S,
49,CPH1803,
50,Redmi 5,
51,CPH1969,
52,SM-A750F,
53,Redmi 4A,
54,Redmi Note 3,
55,vivo 1901,
56,SM-A305F,
57,CPH1823,
58,Moto E (4) Plus,
59,SM-M305F,
60,"iPhone9,4",
61,Nokia 6.1 Plus,
62,vivo 1902,
63,vivo 1606,
64,RMX1851,
65,vivo 1819,
66,vivo 1714,
67,Redmi 6,
68,Redmi Note 7,
69,CPH1909,
70,SM-A507FN,
71,vivo 1716,
72,Moto G (4),
73,RMX1801,
74,A1601,
75,"iPhone8,4",
76,Moto G (5) Plus,
77,SM-M205F,
78,CPH1901,
79,vivo 1803,
80,vivo 1610,
81,LLD-AL20,
82,vivo 1601,
83,vivo 1713,
84,RMX1921,
85,CPH1809,
86,CPH1701,
87,vivo 1726,
88,vivo 1951,
89,SM-J730GM,
90,Redmi Y1,
91,BND-AL10,
92,Redmi 8,
93,RMX1971,
94,CPH1859,
95,vivo 1904,
96,CPH1911,
97,A37f,
98,SM-A307FN,
99,"iPhone10,1",
100,Redmi K20 Pro,
101,CPH1937,
102,SM-G965F,
103,vivo 1718,
104,vivo 1820,
105,vivo 1724,
106,"iPhone6,2",
107,CPH1609,
108,CPH1729,
109,motorola one power,
110,"iPhone11,2",
111,vivo 1814,
112,SM-J210F,
113,RMX1805,
114,SM-A605G,
115,SM-A205F,
116,Lenovo K8 Plus,
117,JSN-L42,
118,CPH1819,
119,Redmi 7,
120,"iPhone10,2",
121,A37fw,
122,RMX1911,
123,SM-J710F,
124,SM-G950F,
125,Lenovo K33a42,
126,"iPhone8,2",
127,Lenovo A7020a48,
128,vivo 1811,
129,vivo 1727,
130,SM-A705GM,
131,Redmi 7A,
132,vivo 1806,
133,vivo 1919,
134,vivo 1909,
135,SM-G570F,
136,RMX1825,
137,CPH1933,
138,SM-N960F,
139,Redmi Y3,
140,"iPhone12,3",
141,vivo 1915,
142,"iPhone11,6",
143,SM-J610F,
144,RMX1901,
145,vivo 1802,
146,SM-N950F,
147,Lenovo K8 Note,
148,vivo 1920,
149,vivo Y51L,
150,SM-G975F,
151,vivo 1801,
152,SM-A105F,
153,BLN-L22,
154,moto g(6),
155,vivo 1603,
156,Moto C Plus,
157,vivo 1609,
158,Redmi K20,
159,SM-G960F,
160,CPH1945,
161,SM-G935F,
162,RMX1992,
163,XT1706,
164,CPH1801,
165,vivo 1917,
166,Nokia 6.1,
167,"iPhone10,6",
168,COR-AL00,
169,MotoG3,
170,SM-C900F,
171,SM-G600FY,
172,SM-J250F,
173,AUM-AL20,
174,SM-A707F,
175,"iPhone12,5",
176,"iPhone9,1",
177,Nokia 5.1 Plus,
178,A33f,
179,Redmi 8A,
180,RMX1925,
181,CPH2001,
182,SM-A730F,
183,SM-G955F,
184,vivo Y21L,
185,vivo 1816,
186,ASUS_X01BDA,
187,TA-1021,
188,MI MAX 2,
189,SM-M405F,
190,SM-J500F,
191,SM-G550FY,
192,vivo V3,
193,SM-G973F,
194,RNE-L22,
195,CPH1723,
196,SM-N975F,
197,moto x4,
198,moto e5 plus,
199,Redmi Y1 Lite,
200,RMX1941,
201,SM-J400F,
202,vivo 1851,
203,SM-G615FU,
204,LND-AL30,
205,vivo 1815,
206,Nokia 8.1,
207,CPH1931,
208,vivo 1812,
209,Pixel 2 XL,
210,CPH1881,
211,SM-M315F,
212,SM-C701F,
213,"iPhone9,2",
214,CPH1989,
215,HRY-AL00,
216,RMX1811,
217,Lenovo A7010a48,
218,SM-J415F,
219,SM-A920F,
220,Moto G (5S),
221,HD1911,
222,RMX1827,
223,"iPhone7,1",
224,ONE A2003,
225,SM-J260G,
226,CPH1853,
227,SM-A207F,
228,CPH1938,
229,Le X526,
230,CPH1725,
231,SM-M105F,
232,Redmi Go,
233,RMX1831,
234,CPH1923,
235,SM-J720F,
236,RMX2030,
237,SM-A515F,
238,vivo 1611,
239,POCO X2,
240,SM-J810GF,
241,CPH1613,
242,Lenovo K50a40,
243,ASUS_Z010D,
244,Pixel 2,
245,LG-M700,
246,Nokia 7.1,
247,Moto G Play,
248,SM-A107F,
249,SM-J600GF,
250,SM-G611F,
251,Moto G (5),
252,TA-1053,
253,SM-A260G,
254,SM-G611FF,
255,SM-A710F,
256,Coolpad 3600I,
257,Lenovo A6020a40,
258,Nokia 7 plus,
259,SM-A910F,
260,Lenovo A6020a46,
261,Redmi Note 5 pro,
262,RMX1945,
263,vivo 1916,
264,vivo 1906,
265,vivo 1921,
266,SM-G930F,
267,CPH1717,
268,Nokia 3.1 Plus,
269,ASUS_X01AD,
270,Infinix X650C,
271,ANE-AL00,
272,2014818,
273,SM-A510F,
274,Pixel 3a,
275,XT1562,
276,TA-1032,
277,Nokia 7.2,
278,RMX1833,
279,RMX1807,
280,"iPhone10,5",
281,Lenovo K53a48,
282,CPH1893,
283,BKK-AL10,
284,"iPhone10,4",
285,SM-J710FN,
286,vivo 1908,
287,Z60,
288,ASUS_Z01RD,
289,ASUS_X00PD,
290,SM-J320F,
291,XT1663,
292,SM-A600G,
293,SM-J510FN,
294,F1f,
295,G,
296,Lenovo P1ma40,
297,SM-A500G,
298,DUK-L09,
299,HRY-AL00Ta,
300,MI MAX,
301,RMX1931,
302,CPH1727,
303,INE-LX2,
304,CPH1821,
305,SM-G970F,
306,ONE E1003,
307,moto e(6s),
308,XT1068,
309,X9009,
310,vivo 1850,
311,ASUS_Z00LD,
312,Lenovo A6000,
313,moto g(6) plus,
314,Pixel 3,
315,Moto E (4),
316,CPH1955,
317,SM-A520F,
318,vivo V3Max,
319,motorola one action,
320,RMX2001,
321,MotoG3-TE,
322,PRA-AL00X,
323,SM-M107F,
324,TIT-AL00,
325,moto g(6) play,
326,ZUK Z2132,
327,Nokia 2.1,
328,TECNO IN5,
329,"iPhone6,1",
330,Moto Z2 Play,
331,Nokia 1,
332,Nokia 2,
333,SM-G885F,
334,RMX2027,
335,SM-N970F,
336,XT1635-02,
337,SM-G770F,
338,DUA-AL00,
339,BKL-L09,
340,CAM-UL00,
341,SM-G531F,
342,E,
343,GIONEE A1,
344,Pixel 3 XL,
345,SM-A715F,
346,TA-1004,
347,SM-A700FD,
348,Le X507,
349,SM-G532G,
350,Redmi 8A Dual,
351,Moto C,
352,SM-G925I,
353,A0001,
354,STK-L22,
355,motorola one vision,
356,Nokia 3.1,
357,Le X509,
358,Micromax HS2,
359,CPH2015,
360,ASUS_X008DA,
361,XT1033,
362,vivo 1805,
363,CP8298_I00,
364,ASUS_I001DE,
365,LM-G710,
366,Infinix X573,
367,Lenovo A6600d40,
368,Lenovo P2a42,
369,Infinix X572,
370,CPH1907,
371,SM-A720F,
372,A1 lite,
373,F103 Pro,
374,SM-G532F,
375,Nokia 4.2,
376,S6s,
377,ASUS_X00RD,
378,COL-AL10,
379,SM-N770F,
380,SM-E700H,
381,Mi 4i,
382,Coolpad 3505I,
383,SM-G530H,
384,moto g(7) power,
385,CPH1861,
386,LG-H870DS,
387,Nokia 2.2,
388,P7 Max,
389,KIW-L22,
390,CPH2035,
391,C103,
392,Lenovo K8,
393,LG-H930,
394,SM-A805F,
395,1201,
396,LG-K420,
397,Lenovo A7000-a,
398,CPH1827,
399,MI 5,
400,moto g(8) plus,
401,motorola one macro,
402,Z61,
403,CPH1919,
404,G2299,
405,Pixel,
406,SM-G985F,
407,TECNO IN2,
408,SM-J120G,
409,Redmi Note 9 Pro,
410,MotoE2,
411,ASUS_I01WD,
412,FRD-L02,
413,CP8676_I02,
414,Mi MIX 2,
415,Pixel 3a XL,
416,G3416,
417,Coolpad Y83-I00,
418,ANE-LX1,
419,RMX2061,
420,moto e5,
421,Coolpad 3503I,
422,meizu C9,
423,IF9031,
424,Z50,
425,Nokia 3.2,
426,SM-G920I,
427,JKM-LX1,
428,Infinix X604,
429,LM-X440IM,
430,"iPhone5,2",
431,LS-5016,
432,Infinix HOT 4 Pro,
433,A1,
434,vivo Y31L,
435,Lenovo PB2-650M,
436,Pixel XL,
437,PCT-AL10,
438,SM-A800F,
439,ASUS_X00GD,
440,Eluga_Ray_700,
441,SM-G950U1,
442,moto g(7),
443,SM-A705FN,
444,P5L,
445,SM-N920G,
446,SM-A800I,
447,Nokia 6.2,
448,Nexus 5,
449,ASUS_X00LDB,
450,TECNO IN1,
451,vivo 1725,
452,G3116,
453,HTC Desire 728 dual sim,
454,X1,
455,JKM-AL00a,
456,SM-N750,
457,YU5014,
458,Lenovo P1a42,
459,D,
460,Lenovo L38043,
